text,label
Government launches new scholarship program for students,REAL
Scientists confirm new renewable energy breakthrough,REAL
Local hospital introduces free vaccination drive,REAL
NASA announces successful satellite mission,REAL
New education reforms approved by parliament,REAL
Aliens spotted walking in Mumbai streets last night,FAKE
Drinking hot water cures all diseases instantly,FAKE
Secret society controls world weather systems,FAKE
Man becomes invisible after eating special fruit,FAKE
Breaking: Time travel machine discovered in village,FAKE
Researchers develop AI tool to assist teachers,REAL
New metro line reduces traffic congestion,REAL
Fake guru claims magical powers to stop earthquakes,FAKE
Social media post claims moon will disappear tomorrow,FAKE
Health experts warn about seasonal flu increase,REAL
Government opens new technology innovation center,REAL
Celebrity says earth is flat in viral video,FAKE
Miracle pill promises instant weight loss without exercise,FAKE
University launches free online learning platform,REAL
Fake news claims robots replacing all teachers next week,FAKE
Scientists confirm humans can breathe underwater naturally,FAKE
Magic oil cures every disease instantly,FAKE
Hidden planet approaching Earth tomorrow,FAKE
Man claims to survive without sleep for 20 years,FAKE
Secret tunnel found leading to alien city,FAKE
Time traveler warns about robot invasion,FAKE
New railway project connects rural areas,REAL
Government launches digital education program,REAL
Scientists develop eco-friendly batteries,REAL
Local startup creates affordable medical device,REAL
New traffic rules reduce accidents in cities,REAL
Researchers publish climate change report,REAL
University introduces AI learning course,REAL
Health ministry releases vaccination guidelines,REAL
